CONTEXT_ID,CONTEXT_NAME,TAO ID,Last Modified Date,Document Class/Subclass,Document Class/Subclass ID,Ordering,Action,Next Status,Department,Department ID,Provider,Provider ID,Order Type,Order Type ID,Order Genus,Assigned To
8363,TX - Ascension - Texas,13472,1/26/2024,ORDER:IMAGING,14674,200,All,SUBMIT,TCPA_PULM CRITICAL CARE_MPT,3746,All,All,"PET-CT, SKULL BASE TO MID-THIGH SCAN ",394250,All,pulmprocedure
8363,TX - Ascension - Texas,13473,1/26/2024,ORDER:IMAGING,14675,200,All,SUBMIT,TCPA_PULM CRITICAL CARE_MPT,3746,All,All,"CT, ANGIOGRAM, CHEST, W/ CONTRAST ",394667,All,pulmprocedure
8363,TX - Ascension - Texas,13474,1/26/2024,ORDER:IMAGING,14676,200,All,SUBMIT,TCPA_PULM CRITICAL CARE_MPT,3746,All,All,"CT, ANGIOGRAM, CHEST, W/O CONTRAST ",439051,All,pulmprocedure
8363,TX - Ascension - Texas,13475,1/26/2024,ORDER:IMAGING,14677,200,All,SUBMIT,TCPA_PULM CRITICAL CARE_MPT,3746,All,All,"CT, ANGIOGRAM, CHEST, W/WO CONTRAST ",392522,All,pulmprocedure
8363,TX - Ascension - Texas,13468,1/25/2024,ORDER:IMAGING,14670,200,All,SUBMIT,TCPA_PULM CRITICAL CARE_MPT,3746,All,All,"PET, WHOLE BODY ",392708,All,pulmprocedure
8363,TX - Ascension - Texas,13469,1/25/2024,ORDER:IMAGING,14671,200,All,SUBMIT,TCPA_PULM CRITICAL CARE_MPT,3746,All,All,"PET, BONE ",392426,All,pulmprocedure
8363,TX - Ascension - Texas,13470,1/25/2024,ORDER:IMAGING,14672,200,All,SUBMIT,TCPA_PULM CRITICAL CARE_MPT,3746,All,All,"PET, LIMITED ",396681,All,pulmprocedure
8363,TX - Ascension - Texas,13471,1/25/2024,ORDER:IMAGING,14673,200,All,SUBMIT,TCPA_PULM CRITICAL CARE_MPT,3746,All,All,"PET, SKULL BASE TO MID-THIGH ",394286,All,pulmprocedure
9635,TX - Ascension-Waco,6655,1/25/2024,ORDER:IMAGING,7086,100,All,SUBMIT,All,All,ccessnun,561,,,All,ccessnunfloor
11016,MI - Ascension - Saginaw/Tawas,1494,1/24/2024,ORDER:IMAGING,1620,50,All,SUBMIT,STM_FM_VASSAR,17,byoung39,230,,,All,[PROVIDER] STAFF
8363,TX - Ascension - Texas,13466,1/24/2024,ORDER:IMAGING,14668,200,Return to SUBMIT,SUBMIT,TCPA_NEUR SRG_HTB,3064,All,All,,,"DEXA SCAN, BONE STUDY, ARTH, CT, MR, NM",[PROVIDER] STAFF
8363,TX - Ascension - Texas,7516,1/22/2024,ORDER:IMAGING,8330,500,All,SUBMIT,"TCPA_CV SURG_LAMAR VALVE, TCPA_CARDIO_PFLUGERVILLE, TCPA_CARDIO_HIGHLANDLAKES BLDG 1, TCPA_CV_SURG_BURNET, TCPA_CV_SURG_WILCO, TCPA_CV SURG_LAMAR, TCPA_CV_SURG_HAYS, TCPA_CARDIO_BAR W MRKT, TCPA_CARDIO_ARBOR TRL, TCPA_CARDIO_SMITHVILLE, TCPA_CARDIO_HTB, TCPA_CARDIO_KYLE, TCPA_CV SURG_KYLE, TCPA_CARDIO_DRIPPINGSPRINGS, TCPA_CARDIO_TEMPLE, TCPA_CARDIO_GEORGETOWN, TCPA_CARDIO_DAVIS_LANE, TCPA_CV SURG_BASTROP, TCPA_CV_SURG_SNW, TCPA_CARDIO_ARC_FOUR POINTS, TCPA_CARDIO_BASTROP, TCPA_CARDIO_BASTROP_STE200, TCPA_CARDIO_CAPTXHWY, TCPA_CARDIO_CP, TCPA_CARDIO_HAYS, TCPA_CARDIO_HIGHLAND LAKES, TCPA_CARDIO_HSCTC_OP, TCPA_CARDIO_JAMES_CASEY, TCPA_CARDIO_LAMPASAS, TCPA_CARDIO_LAMPASAS_STE1000, TCPA_CARDIO_LOCKHART_CHURCH ST, TCPA_CARDIO_LOCKHART_WSA, TCPA_CARDIO_LULING, TCPA_CARDIO_LAMAR MOB, TCPA_CARDIO_SNW, TCPA_CARDIO_SAN MARCOS_HUNTER, TCPA_CARDIO_WILCO, TCPA_CARDIO_WIMBERLEY, TCPA_CARDIO_HTB_DSMC","4514, 4094, 4494, 4117, 4116, 4111, 4115, 4090, 3957, 3302, 3608, 3831, 4321, 3734, 3407, 3306, 3583, 4310, 4191, 2979, 1601, 2774, 3187, 813, 217, 1004, 664, 2762, 408, 3016, 1114, 75, 520, 663, 100, 3050, 1430, 2583, 4463",All,All,"CT, ANGIOGRAM, CHEST, W/WO CONTRAST ",392522,All,shicardio
8363,TX - Ascension - Texas,7519,1/22/2024,ORDER:IMAGING,8333,500,All,SUBMIT,"TCPA_CARDIO_KYLE, TCPA_CARDIO_TEMPLE, TCPA_CARDIO_HIGHLANDLAKES BLDG 1, TCPA_CARDIO_BAR W MRKT, TCPA_CV_SURG_HAYS, TCPA_CV_SURG_WILCO, TCPA_CV_SURG_BURNET, TCPA_CV SURG_LAMAR, TCPA_CARDIO_DAVIS_LANE, TCPA_CARDIO_SNW, TCPA_CARDIO_HIGHLAND LAKES, TCPA_CARDIO_CP, TCPA_CARDIO_WILCO, TCPA_CARDIO_LAMPASAS_STE1000, TCPA_CV SURG_LAMAR VALVE, TCPA_CARDIO_SMITHVILLE, TCPA_CARDIO_ARBOR TRL, TCPA_CARDIO_GEORGETOWN, TCPA_CARDIO_WIMBERLEY, TCPA_CARDIO_BASTROP, TCPA_CARDIO_JAMES_CASEY, TCPA_CARDIO_HTB_DSMC, TCPA_CARDIO_LAMAR MOB, TCPA_CARDIO_BASTROP_STE200, TCPA_CARDIO_DRIPPINGSPRINGS, TCPA_CARDIO_LULING, TCPA_CARDIO_PFLUGERVILLE, TCPA_CARDIO_LOCKHART_CHURCH ST, TCPA_CARDIO_HAYS, TCPA_CARDIO_CAPTXHWY, TCPA_CARDIO_ARC_FOUR POINTS, TCPA_CV_SURG_SNW, TCPA_CARDIO_SAN MARCOS_HUNTER, TCPA_CV SURG_KYLE, TCPA_CV SURG_BASTROP, TCPA_CARDIO_LAMPASAS, TCPA_CARDIO_LOCKHART_WSA, TCPA_CARDIO_HTB","3831, 3407, 4494, 4090, 4115, 4116, 4117, 4111, 3583, 100, 1004, 813, 1430, 3016, 4514, 3302, 3957, 3306, 2583, 1601, 2762, 4463, 663, 2774, 3734, 520, 4094, 1114, 217, 3187, 2979, 4191, 3050, 4321, 4310, 408, 75, 3608",All,All,"MRI, HEART FUNCTION AND MORPHOLOGY, W/WO CONTRAST ",392674,All,shicardio
8363,TX - Ascension - Texas,7570,1/22/2024,ORDER:IMAGING,8384,500,All,SUBMIT,"TCPA_CV SURG_LAMAR VALVE, TCPA_CARDIO_GEORGETOWN, TCPA_CARDIO_ARBOR TRL, TCPA_CARDIO_KYLE, TCPA_CARDIO_LOCKHART_WSA, TCPA_CARDIO_SMITHVILLE, TCPA_CARDIO_DRIPPINGSPRINGS, TCPA_CV SURG_KYLE, TCPA_CARDIO_HTB_DSMC, TCPA_CV SURG_BASTROP, TCPA_CV_SURG_SNW, TCPA_CARDIO_PFLUGERVILLE, TCPA_CARDIO_TEMPLE, TCPA_CARDIO_HTB, TCPA_CARDIO_HIGHLANDLAKES BLDG 1, TCPA_CARDIO_BAR W MRKT, TCPA_CV_SURG_HAYS, TCPA_CV_SURG_WILCO, TCPA_CV_SURG_BURNET, TCPA_CV SURG_LAMAR, TCPA_CARDIO_DAVIS_LANE, TCPA_CARDIO_CP, TCPA_CARDIO_WILCO, TCPA_CARDIO_SNW, TCPA_CARDIO_WIMBERLEY, TCPA_CARDIO_BASTROP, TCPA_CARDIO_LAMAR MOB, TCPA_CARDIO_BASTROP_STE200, TCPA_CARDIO_LULING, TCPA_CARDIO_LOCKHART_CHURCH ST, TCPA_CARDIO_HAYS, TCPA_CARDIO_WARM SPRINGS_CIR, TCPA_CARDIO_CAPTXHWY, TCPA_CARDIO_ARC_FOUR POINTS, TCPA_CARDIO_SAN MARCOS_HUNTER, TCPA_CARDIO_LAMPASAS, TCPA_CARDIO_LAMPASAS_STE1000, TCPA_CARDIO_JAMES_CASEY, TCPA_CARDIO_HIGHLAND LAKES, TCPA_THORAC CARDIO_CC","4514, 3306, 3957, 3831, 75, 3302, 3734, 4321, 4463, 4310, 4191, 4094, 3407, 3608, 4494, 4090, 4115, 4116, 4117, 4111, 3583, 813, 1430, 100, 2583, 1601, 663, 2774, 520, 1114, 217, 2806, 3187, 2979, 3050, 408, 3016, 2762, 1004, 3068",All,All,"MRI, CHEST, W/WO CONTRAST ",392729,All,shicardio
8363,TX - Ascension - Texas,7571,1/22/2024,ORDER:IMAGING,8385,500,All,SUBMIT,"TCPA_CARDIO_HIGHLANDLAKES BLDG 1, TCPA_CARDIO_TEMPLE, TCPA_CARDIO_HTB, TCPA_CARDIO_BAR W MRKT, TCPA_CV_SURG_BURNET, TCPA_CV_SURG_WILCO, TCPA_CV SURG_LAMAR, TCPA_CV_SURG_HAYS, TCPA_CARDIO_DAVIS_LANE, TCPA_CARDIO_GEORGETOWN, TCPA_CARDIO_ARBOR TRL, TCPA_CARDIO_KYLE, TCPA_CARDIO_LOCKHART_WSA, TCPA_CARDIO_SMITHVILLE, TCPA_CARDIO_DRIPPINGSPRINGS, TCPA_CV SURG_KYLE, TCPA_CARDIO_HTB_DSMC, TCPA_CV SURG_BASTROP, TCPA_CV_SURG_SNW, TCPA_CARDIO_PFLUGERVILLE, TCPA_CARDIO_SNW, TCPA_CARDIO_CP, TCPA_CARDIO_WILCO, TCPA_CV SURG_LAMAR VALVE, TCPA_CARDIO_WIMBERLEY, TCPA_CARDIO_BASTROP, TCPA_CARDIO_LAMAR MOB, TCPA_CARDIO_BASTROP_STE200, TCPA_CARDIO_LULING, TCPA_CARDIO_LOCKHART_CHURCH ST, TCPA_CARDIO_HAYS, TCPA_CARDIO_WARM SPRINGS_CIR, TCPA_CARDIO_CAPTXHWY, TCPA_CARDIO_ARC_FOUR POINTS, TCPA_CARDIO_SAN MARCOS_HUNTER, TCPA_CARDIO_LAMPASAS, TCPA_CARDIO_LAMPASAS_STE1000, TCPA_CARDIO_JAMES_CASEY, TCPA_CARDIO_HIGHLAND LAKES","4494, 3407, 3608, 4090, 4117, 4116, 4111, 4115, 3583, 3306, 3957, 3831, 75, 3302, 3734, 4321, 4463, 4310, 4191, 4094, 100, 813, 1430, 4514, 2583, 1601, 663, 2774, 520, 1114, 217, 2806, 3187, 2979, 3050, 408, 3016, 2762, 1004",All,All,"MRI, HEART FUNCTION AND MORPHOLOGY, W/O CONTRAST, W/ STRESS ",395789,All,shicardio
8363,TX - Ascension - Texas,7818,1/22/2024,ORDER:IMAGING,8675,400,All,SUBMIT,"TCPA_CARDIO_DRIPPINGSPRINGS, TCPA_CARDIO_PFLUGERVILLE, TCPA_CARDIO_BAR W MRKT, TCPA_CARDIO_KYLE, TCPA_CARDIO_TEMPLE, TCPA_CARDIO_CP, TCPA_CARDIO_HTB, TCPA_CARDIO_DAVIS_LANE, TCPA_CARDIO_HIGHLANDLAKES BLDG 1, TCPA_CARDIO_ARBOR TRL, TCPA_CARDIO_HTB_DSMC, TCPA_CARDIO_WIMBERLEY, TCPA_CV_SURG_BURNET, TCPA_CV SURG_KYLE, TCPA_CV_SURG_HAYS, TCPA_CV_SURG_WILCO, TCPA_CARDIO_ARC_FOUR POINTS, TCPA_CV SURG_BASTROP, TCPA_CV SURG_LAMAR VALVE, TCPA_CARDIO_BASTROP, TCPA_CARDIO_BASTROP_STE200, TCPA_CARDIO_CAPTXHWY, TCPA_CV_SURG_SNW, TCPA_CARDIO_GEORGETOWN, TCPA_CARDIO_HAYS, TCPA_CARDIO_HIGHLAND LAKES, TCPA_CARDIO_JAMES_CASEY, TCPA_CV SURG_LAMAR, TCPA_CARDIO_LAMPASAS, TCPA_CARDIO_LAMPASAS_STE1000, TCPA_CARDIO_LOCKHART_CHURCH ST, TCPA_CARDIO_LOCKHART_WSA, TCPA_CARDIO_LULING, TCPA_CARDIO_LAMAR MOB, TCPA_CARDIO_SMITHVILLE, TCPA_CARDIO_SNW, TCPA_CARDIO_WARM SPRINGS_CIR, TCPA_CARDIO_SAN MARCOS_HUNTER, TCPA_CARDIO_WILCO","3734, 4094, 4090, 3831, 3407, 813, 3608, 3583, 4494, 3957, 4463, 2583, 4117, 4321, 4115, 4116, 2979, 4310, 4514, 1601, 2774, 3187, 4191, 3306, 217, 1004, 2762, 4111, 408, 3016, 1114, 75, 520, 663, 3302, 100, 2806, 3050, 1430",All,All,EVENT MONITOR,392230,All,[PROVIDER] STAFF
